symbol,w,mu_m,var_m,mu_ann,var_ann
MVEW.AS,0.47431467711301295,0.007942514983693742,4.927011184758619e-4,0.10000000000000009,4.927011184758619e-4
ROLG.L,0.4287096433135957,0.007942514983693742,4.927011184758619e-4,0.10000000000000009,4.927011184758619e-4
IITU.L,0.09697567957339129,0.007942514983693742,4.927011184758619e-4,0.10000000000000009,4.927011184758619e-4
